Unnamed: 0,spotId,raster,x,y,z,class,Date,roi,tissue_id,L.Lactic.acid_.M.Hm0,L.Lactic.acid_.M.Hm1,L.Lactic.acid_.M.Hm2,L.Lactic.acid_.M.Hm3,L.Malic.acid_.M.Hm0,L.Malic.acid_.M.Hm1,L.Malic.acid_.M.Hm2,L.Malic.acid_.M.Hm3,L.Malic.acid_.M.Hm4,L.Glutamine_.M.Hm0,L.Glutamine_.M.Hm1,L.Glutamine_.M.Hm2,L.Glutamine_.M.Hm3,L.Glutamine_.M.Hm4,L.Glutamine_.M.Hm5,L.Glutamic.acid_.M.Hm0,L.Glutamic.acid_.M.Hm1,L.Glutamic.acid_.M.Hm2,L.Glutamic.acid_.M.Hm3,L.Glutamic.acid_.M.Hm4,L.Glutamic.acid_.M.Hm5,Citric.acid_.M.Hm0,Citric.acid_.M.Hm1,Citric.acid_.M.Hm2,Citric.acid_.M.Hm3,Citric.acid_.M.Hm4,Citric.acid_.M.Hm5,Citric.acid_.M.Hm6,D.Glucose_.M.Clm0,D.Glucose_.M.Clm1,D.Glucose_.M.Clm2,D.Glucose_.M.Clm3,D.Glucose_.M.Clm4,D.Glucose_.M.Clm5,D.Glucose_.M.Clm6,Glutathione_.M.Hm0,Glutathione_.M.Hm1,Glutathione_.M.Hm2,Glutathione_.M.Hm3,Glutathione_.M.Hm4,Glutathione_.M.Hm5,Glutathione_.M.Hm6,Glutathione_.M.Hm7,Glutathione_.M.Hm8,Glutathione_.M.Hm9,Glutathione_.M.Hm10,Adenosine.monophosphate_.M.Hm0,Adenosine.monophosphate_.M.Hm1,Adenosine.monophosphate_.M.Hm2,Adenosine.monophosphate_.M.Hm3,Adenosine.monophosphate_.M.Hm4,Adenosine.monophosphate_.M.Hm5,Adenosine.monophosphate_.M.Hm6,Adenosine.monophosphate_.M.Hm7,Adenosine.monophosphate_.M.Hm8,Adenosine.monophosphate_.M.Hm9,Adenosine.monophosphate_.M.Hm10
91872,91871,2,9669.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,6550.254395,1139.80188,668.4914551,0,0,4929.522949,961.8581543,0,0,0,0,13855.56738,1596.68457,1221.559937,0,0,0,5155.55957,586.7334595,1077.281128,0,0,0,0,3303.98291,464.1035156,0,846.4351807,0,581.9241943,0,15981.27344,4708.295898,6906.141602,3077.946045,1510.11731,0,0,581.9241943,0,562.6870117,0,884.9095459,542.9293823,803.1515503,0,0,0,406.188324,0,0,0,0
91873,91872,2,9719.265625,7315.681641,0,normal,,l1normal,tracer_1,0,439.2893982,0,0,6085.847656,405.4979248,0,0,0,4288.140625,648.7966919,0,0,0,0,13634.86719,1719.986938,1071.190308,942.7826538,0,0,2041.006226,692.7255859,0,0,0,0,0,5437.05127,0,0,567.6970825,0,0,0,16973.4668,6917.118652,5636.420898,2216.721924,608.2468872,1010.365662,0,0,0,0,0,391.9813232,0,506.872406,0,0,0,0,479.8392029,0,0,0
91874,91873,2,9769.265625,7315.681641,0,normal,,l1normal,tracer_1,2102.136719,0,0,0,7131.344727,1114.385742,0,0,0,2615.911865,492.0664063,492.0664063,0,0,0,13734.44238,2652.093262,919.0064087,596.9923096,0,0,3176.7229,1458.108521,680.2094727,0,0,0,828.5529785,3140.541504,477.5938721,0,397.9949036,593.3742065,604.2286377,0,16882.21875,5452.529785,5875.852051,3060.942627,976.8965454,502.9208069,0,0,0,0,463.1213379,1186.748413,0,0,564.4291382,0,448.6487732,0,0,0,0,0
91875,91874,2,9819.265625,7315.681641,0,normal,,l1normal,tracer_1,0,733.6506958,0,0,6070.161621,921.8480225,0,0,0,3614.0271,370.0151062,0,523.1248169,424.2414856,0,11709.70215,2414.667725,612.4388428,437.0006104,0,0,3138.749023,0,1039.870117,0,0,0,505.5619202,3435.398926,851.6727295,0,730.4608765,0,0,0,12513.52832,5598.07373,3413.070557,226.7098389,775.1178589,357.2559814,0,0,0,0,599.6796875,0,0,0,341.3070374,0,0,0,0,0,0,0
91876,91875,2,9869.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,5726.72168,1252.94458,322.8005981,274.978302,0,2130.483887,0,413.6629944,301.2805786,0,0,8882.994141,1556.616211,944.4906616,0,0,0,2140.048584,0,585.8233032,0,0,0,0,2563.275879,748.4191895,0,0,0,315.6272583,0,7331.160645,2730.654053,2407.853516,1130.997681,815.3704224,251.0671387,0,0,0,0,0,0,0,0,0,0,251.0671387,0,0,0,0,0
91877,91876,2,9919.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,5453.795898,989.5072632,598.3067017,0,0,3103.716064,1282.907593,526.3948364,365.3122559,0,0,11373.58008,2692.380127,1570.555054,0,0,0,2364.462158,739.2539673,805.4128418,0,0,2281.044189,540.7772217,2934.003906,474.6182861,0,0,0,0,0,17152.41797,6929.427246,3877.487549,1515.9021,839.930542,615.5655518,0,0,0,0,460.2359314,0,0,0,0,0,0,0,0,0,0,0
91878,91877,2,9969.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,7754.69873,1092.688354,0,0,0,4281.813477,0,592.9316406,0,0,0,14103.30273,2439.490234,1668.679077,0,0,0,5065.330566,698.8123169,1092.688354,0,0,0,0,3468.650146,491.2862244,0,1122.334961,639.519165,0,0,14975.75977,5323.679199,3951.46582,749.6350098,0,686.1066284,461.6396484,0,0,0,618.3430176,567.5203247,0,554.8146362,0,0,0,0,0,0,329.3576355,0
91879,91878,2,10019.26563,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,6536.353027,549.2126465,0,0,0,3479.55127,1033.386963,411.9094849,0,0,0,9311.322266,2055.934082,787.6865845,0,0,0,3490.390869,487.7875366,197.6640167,0,0,0,0,3757.770752,0,0,1058.679688,404.6830139,0,0,15171.99902,5390.955566,4541.844238,2196.850586,869.1745605,614.2509766,574.5053101,0,0,0,0,0,0,0,455.2417603,0,0,0,0,0,532.2564697,0
91880,91879,2,10069.26563,7315.681641,0,normal,,l1normal,tracer_1,0,556.3716431,0,0,4887.197754,1432.518311,207.0220032,0,0,3650.611084,634.0048828,911.2664795,0,0,0,10192.13672,1628.449829,682.0635376,0,133.948761,0,2262.45459,426.9828796,351.1980286,0,0,0,0,2639.530518,329.0170898,0,234.7481537,0,239.2424927,480.586792,9853.876953,3576.674561,3273.5354,1282.796997,922.3569336,393.7114868,0,0,0,0,306.8361816,210.718811,0,0,203.3251801,0,0,214.4156342,236.5965729,0,197.7799377,0
91881,91880,2,10119.26563,7315.681641,0,normal,,l1normal,tracer_1,0,589.9303589,0,0,7728.087891,1252.467529,0,0,0,5164.159668,0,726.0681763,0,0,0,11821.29688,2386.948975,1220.702026,0,0,0,2672.838379,0,0,0,0,3598.575195,966.5782471,4261.112305,0,0,825.9025269,0,0,0,13427.72266,6684.364746,4959.953125,1669.956787,1057.336792,1052.798828,0,0,0,0,0,1928.61853,540.0131836,0,0,0,0,0,0,0,0,0
